BEVOEGD GEZAG NUMMER;INSTELLING;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;AANTAL LEERLINGEN;AANTAL VO LEERLINGEN UITBESTEED AAN VAVO
41664;25FU;25FU00;LCH;HAARLEM;392;HAARLEM;Noord-Holland;828;6
41664;26JE;26JE00;Praktijkschool Uithoorn;UITHOORN;451;UITHOORN;Noord-Holland;108;0
41664;26JE;26JE02;Praktijkschool Uithoorn;UITHOORN;451;UITHOORN;Noord-Holland;91;0
41671;07YU;07YU00;Mijnschool;HARDERWIJK;243;HARDERWIJK;Gelderland;215;0
41676;16AW;16AW00;Opb SGM Echnaton;ALMERE;34;ALMERE;Flevoland;948;0
41676;16AW;16AW01;Opb SGM Echnaton;ALMERE;34;ALMERE;Flevoland;1798;<5
41676;16AW;16AW06;Opb SGM Echnaton;ALMERE;34;ALMERE;Flevoland;195;0
41676;17DN;17DN00;OSG De Meergronden;ALMERE;34;ALMERE;Flevoland;1240;0
41676;17DN;17DN01;SGM De Meergronden- Arte Coll.;ALMERE;34;ALMERE;Flevoland;864;0
41676;17JI;17JI00;Pro-Almere Bachweg;ALMERE;34;ALMERE;Flevoland;149;0
41676;24RW;24RW00;O V C;ALMERE;34;ALMERE;Flevoland;1491;6
41676;24RW;24RW03;O V C locatie Buitenhout;ALMERE;34;ALMERE;Flevoland;831;0
41676;24RW;24RW04;O V C locatie MLF;ALMERE;34;ALMERE;Flevoland;558;<5
41676;28BU;28BU00;Pro-Almere Marathonlaan;ALMERE;34;ALMERE;Flevoland;171;0
41676;30UD;30UD00;Pro-Almere Koningsbeltweg;ALMERE;34;ALMERE;Flevoland;153;0
41737;12IR;12IR00;Sgm de Nieuwe Veste;COEVORDEN;109;COEVORDEN;Drenthe;1169;6
41737;12IR;12IR05;Sgm de Nieuwe Veste;HARDENBERG;160;HARDENBERG;Overijssel;429;0
41737;12IR;12IR11;Sgm de Nieuwe Veste;HARDENBERG;160;HARDENBERG;Overijssel;82;0
41769;03WO;03WO00;Van Lodensteincollege;AMERSFOORT;307;AMERSFOORT;Utrecht;1081;<5
41769;03WO;03WO01;Van Lodensteincollege;HOEVELAKEN;267;NIJKERK;Gelderland;728;0
41769;03WO;03WO02;Van Lodensteincollege;KESTEREN;1740;NEDER-BETUWE;Gelderland;1108;<5
41769;03WO;03WO03;Van Lodensteincollege;BARNEVELD;203;BARNEVELD;Gelderland;840;0
41769;26MV;26MV00;Van Lodenstein Coll. voor PRO;EDE GLD;228;EDE;Gelderland;118;0
41775;02LB;02LB00;SNZ;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;739;0
41775;02LB;02LB01;Nieuw Zuid OSG;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;394;0
41775;02LB;02LB08;Nieuw Zuid OSG;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;809;<5
41775;15EO;15EO00;OSG Libanon Lyceum;ROTTERDAM;599;ROTTERDAM;Zuid-Holland;579;15
