PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2022-23,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
1011,363,Amsterdam,14203,14170,2030,90,1830,940,0,140,1320,620,60,1780,0,1560,1240,1870,260,0,90,240,100,0,0
1012,363,Amsterdam,31692,31680,2290,70,1530,6770,0,820,680,590,350,2830,10,9740,1560,270,1040,0,320,930,1880,0,0
1013,363,Amsterdam,23203,23210,6060,560,1320,1620,0,200,1880,1730,520,3060,30,1410,700,1290,550,20,240,820,1060,140,0
1014,363,Amsterdam,14759,14760,2750,420,330,500,0,700,510,1170,580,820,0,610,790,620,60,60,90,4610,140,0,0
1015,363,Amsterdam,9241,9240,2260,180,990,750,0,640,540,280,160,990,0,1220,400,0,270,0,200,280,80,0,0
1016,363,Amsterdam,16315,16330,2950,280,1120,1590,0,790,770,830,240,1810,10,1990,630,870,600,0,290,1470,80,10,0
1017,363,Amsterdam,32317,32310,6420,180,2400,3510,20,1790,810,860,290,3020,10,5580,650,180,660,410,490,4820,210,0,0
1018,363,Amsterdam,24722,24710,4540,210,1620,1060,0,560,3620,700,220,2480,0,1320,2830,2940,920,0,880,620,170,20,0
1019,363,Amsterdam,15726,15730,4790,440,1110,660,0,170,800,540,340,1910,0,1030,700,150,420,20,300,2170,180,0,0
1021,363,Amsterdam,4683,4670,880,160,430,680,0,0,350,240,80,520,0,310,170,0,70,0,60,480,240,0,0
1022,363,Amsterdam,2539,2540,450,70,180,120,0,10,200,80,550,220,0,130,220,0,40,0,10,190,70,0,0
1023,363,Amsterdam,1744,1740,340,100,160,90,0,30,330,170,90,70,0,80,100,0,40,0,40,50,50,0,0
1024,363,Amsterdam,3145,3150,300,190,170,360,0,0,830,30,40,120,0,130,410,40,80,0,10,170,270,0,0
1025,363,Amsterdam,6453,6450,890,210,340,1180,0,30,1020,50,60,280,0,380,670,680,190,0,40,240,190,0,0
1026,363,Amsterdam,164,150,30,0,20,10,0,0,10,0,10,10,10,20,0,0,0,0,20,0,10,0,0
1027,363,Amsterdam,492,490,30,30,40,10,0,0,110,100,20,10,50,10,10,50,10,0,0,10,0,0,0
1028,363,Amsterdam,259,260,40,20,20,0,0,0,50,0,10,10,40,10,20,0,10,0,0,20,10,0,0
1031,363,Amsterdam,8308,8310,2810,280,640,700,0,50,600,180,400,880,0,850,340,0,130,0,30,270,150,0,0
1032,363,Amsterdam,3964,3970,590,240,290,430,0,30,300,110,310,170,10,300,280,30,90,0,120,360,300,10,0
1033,363,Amsterdam,12456,12440,2520,970,580,600,0,70,2250,990,940,1140,0,610,400,40,230,0,70,730,280,20,0
1034,363,Amsterdam,4259,4250,300,200,210,300,0,80,2090,40,40,110,0,80,310,0,120,0,10,150,210,0,0
1035,363,Amsterdam,2772,2770,330,310,220,420,0,0,340,40,30,120,0,220,260,60,80,0,10,170,130,30,0
1036,363,Amsterdam,570,560,90,20,40,110,0,0,80,10,0,40,0,20,100,0,10,0,0,10,30,0,0
1037,363,Amsterdam,160,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,10,0,0
1041,363,Amsterdam,1502,1510,270,170,0,10,0,0,0,370,30,10,0,0,0,20,0,20,10,100,160,340,0
1042,363,Amsterdam,4848,4850,310,530,20,180,0,40,10,590,260,90,0,40,100,200,20,0,20,340,2090,10,0
1043,363,Amsterdam,29268,29260,3850,900,460,530,0,2230,530,2010,1550,4440,0,390,550,6150,330,1040,1020,2400,870,0,10
1044,363,Amsterdam,1355,1350,40,0,0,510,0,0,0,200,60,0,0,0,10,0,0,0,0,80,360,90,0
1045,363,Amsterdam,2128,2120,100,250,20,60,0,0,0,560,250,0,0,20,0,0,0,0,80,30,60,690,0
1046,363,Amsterdam,8046,8030,510,510,120,800,0,50,190,920,410,280,0,100,90,60,120,10,40,680,2950,190,0
1047,363,Amsterdam,3905,3900,10,40,30,150,0,0,0,700,530,0,0,0,0,0,0,0,0,40,2380,0,20
1051,363,Amsterdam,5882,5890,970,140,600,460,0,30,530,730,240,550,0,440,540,130,120,0,40,140,230,0,0
1052,363,Amsterdam,4618,4620,870,90,510,440,0,10,910,50,80,350,0,380,390,50,170,0,100,140,80,0,0
1053,363,Amsterdam,8042,8040,1160,140,750,1440,0,80,1090,150,150,540,0,1000,700,0,310,0,100,330,100,0,0
1054,363,Amsterdam,11674,11660,1880,130,960,1010,30,120,2890,200,170,800,0,1500,490,0,380,0,150,830,120,0,0
1055,363,Amsterdam,7860,7850,1250,370,700,1030,0,40,870,200,140,500,0,470,690,470,230,0,190,460,240,0,0
1056,363,Amsterdam,6355,6350,1060,180,700,550,0,0,720,70,110,440,0,430,550,920,220,0,40,240,120,0,0
1057,363,Amsterdam,6139,6150,1010,200,680,730,0,10,820,90,190,380,0,660,740,0,210,0,40,240,150,0,0
1058,363,Amsterdam,6521,6500,1270,90,610,540,0,20,1220,100,60,470,0,530,430,210,600,0,60,200,90,0,0
1059,363,Amsterdam,7659,7660,2350,300,470,450,0,400,540,320,260,720,0,240,200,110,190,0,710,240,60,100,0
1060,363,Amsterdam,3279,3280,360,240,90,370,0,30,240,520,30,140,0,160,250,60,60,0,20,270,440,0,0
1061,363,Amsterdam,7832,7850,570,210,290,220,0,20,4080,50,40,220,0,120,960,0,100,0,10,240,720,0,0
1062,363,Amsterdam,11746,11740,1960,280,420,750,0,670,3650,610,170,760,0,280,660,140,360,0,70,760,200,0,0
1063,363,Amsterdam,3967,3960,270,440,200,880,0,10,530,40,50,120,0,260,600,0,100,0,10,220,230,0,0
1064,363,Amsterdam,4317,4340,380,430,290,360,0,10,790,40,80,170,0,180,610,260,120,0,10,220,390,0,0
1065,363,Amsterdam,3468,3470,280,290,170,460,0,10,760,50,30,100,0,210,650,0,90,0,10,180,180,0,0
1066,363,Amsterdam,20525,20520,3470,430,320,690,0,1020,6170,220,200,4270,10,510,480,460,220,0,150,1310,580,10,0
1067,363,Amsterdam,6179,6180,350,810,250,730,0,10,1270,250,70,120,30,140,670,0,250,0,20,700,500,10,0
1068,363,Amsterdam,6378,6390,380,420,200,1190,0,60,1060,70,90,220,0,410,630,720,190,0,120,310,320,0,0
1069,363,Amsterdam,7859,7840,700,1010,200,1110,0,50,1720,170,140,290,0,280,640,0,190,0,20,670,650,0,0
1071,363,Amsterdam,13613,13620,2590,70,2270,1710,40,540,1420,250,140,430,0,1770,870,70,400,0,470,400,180,0,0
1072,363,Amsterdam,8056,8050,1160,90,620,1410,0,60,620,130,140,530,0,2030,380,0,400,0,110,220,150,0,0
1073,363,Amsterdam,5815,5820,1200,90,480,930,0,60,690,70,100,360,0,660,560,60,210,0,60,220,70,0,0
1074,363,Amsterdam,3412,3400,780,70,310,320,0,50,330,70,60,230,0,460,310,0,170,0,50,130,60,0,0
1075,363,Amsterdam,8770,8770,2100,100,350,660,10,270,1180,130,120,1000,10,670,370,0,210,0,320,340,930,0,0
1076,363,Amsterdam,10218,10200,2130,530,340,640,0,210,1040,430,120,960,0,490,1420,1090,160,0,280,280,80,0,0
1077,363,Amsterdam,16605,16600,4640,160,940,670,0,2770,660,590,560,1720,0,920,1120,30,190,90,450,770,100,110,110
1078,363,Amsterdam,5772,5790,1000,100,450,930,0,30,620,120,110,290,0,640,430,0,260,0,100,630,80,0,0
1079,363,Amsterdam,8687,8700,2050,150,440,730,0,110,1060,100,70,610,0,460,930,460,230,0,200,310,790,0,0
1081,363,Amsterdam,26820,26800,6980,130,240,400,10,910,9060,280,500,260,0,480,6840,30,110,0,100,340,70,60,0
1082,363,Amsterdam,18070,18050,5490,160,210,1500,0,5380,650,520,60,1220,0,790,340,250,230,100,650,420,40,0,40
1083,363,Amsterdam,10519,10510,4600,40,240,180,20,860,1190,290,30,1010,0,390,440,170,340,30,80,540,60,0,0
1086,363,Amsterdam,2420,2420,950,190,110,110,0,0,290,90,20,320,0,30,140,0,30,0,20,80,40,0,0
1087,363,Amsterdam,6618,6620,1500,150,400,700,0,110,1260,120,90,550,0,320,620,0,190,30,80,300,200,0,0
1091,363,Amsterdam,11108,11130,1090,110,760,560,0,20,4690,90,80,510,0,870,1700,150,150,10,30,180,130,0,0
1092,363,Amsterdam,3958,3980,980,80,410,280,0,40,470,110,40,180,0,600,390,0,190,0,20,100,90,0,0
1093,363,Amsterdam,5883,5860,620,40,500,1000,0,20,990,40,40,190,0,600,450,1010,120,0,30,130,80,0,0
1094,363,Amsterdam,4210,4190,820,100,590,440,0,10,560,40,80,250,0,450,340,10,200,0,40,130,130,0,0
1095,363,Amsterdam,4697,4680,700,100,490,420,0,10,880,70,270,240,0,200,660,190,80,0,20,200,150,0,0
1096,363,Amsterdam,14007,14000,3150,180,190,350,0,3060,710,600,120,1510,0,360,340,290,40,340,120,880,530,1230,0
1097,363,Amsterdam,9680,9690,1100,110,460,590,0,340,1030,190,200,1830,0,720,840,670,730,80,100,370,100,230,0
1098,363,Amsterdam,9699,9700,2300,100,580,970,0,60,800,140,450,780,0,400,2530,0,170,0,160,170,70,0,20
1101,363,Amsterdam,41618,41620,6570,330,840,2920,0,8150,1090,3890,650,4240,0,5950,120,690,110,80,200,5440,330,10,10
1102,363,Amsterdam,26068,26050,480,240,450,1160,0,16420,1440,80,40,220,0,440,1550,840,280,1680,30,390,310,0,0
1103,363,Amsterdam,4517,4510,500,500,200,450,0,30,880,60,30,240,0,150,640,110,190,0,50,310,170,0,0
1104,363,Amsterdam,3295,3290,290,190,200,360,0,0,960,40,40,140,0,90,300,0,140,0,10,320,210,0,0
1105,363,Amsterdam,18895,18910,2630,740,220,600,0,220,10860,1220,500,520,0,240,500,130,100,20,40,150,90,130,0
1106,363,Amsterdam,3813,3820,260,190,220,550,0,10,1040,30,30,100,0,140,500,140,140,0,10,270,190,0,0
1107,363,Amsterdam,2239,2230,180,160,120,360,0,0,540,30,30,90,0,110,260,0,80,0,10,120,140,0,0
1108,363,Amsterdam,1210,1200,90,160,60,40,0,0,260,10,10,40,0,150,90,0,20,0,0,90,20,160,0
1109,363,Amsterdam,328,320,40,40,20,30,0,10,70,0,10,20,10,0,40,0,10,0,0,20,0,0,0
1111,384,Diemen,6379,6390,490,260,220,710,0,40,610,80,1900,160,10,260,430,330,140,170,130,210,200,40,0
1112,384,Diemen,12157,12170,2010,1280,250,580,0,1020,1220,680,1320,1020,0,340,660,10,150,40,40,1210,340,0,0
1113,384,Diemen,733,730,130,50,30,170,0,40,80,30,10,40,0,30,40,0,30,0,0,30,20,0,0
1114,437,Ouder-Amstel,12420,0,1360,560,110,1080,0,650,100,1850,390,2580,0,130,120,0,40,10,70,2650,620,100,0
1115,437,Ouder-Amstel,2095,2090,280,110,80,230,0,10,530,60,70,80,0,90,180,0,40,0,20,120,190,0,0
1117,394,Haarlemmermeer,8450,8450,270,10,0,0,0,70,250,20,700,120,0,330,0,150,20,0,10,2060,4440,0,0
1118,394,Haarlemmermeer,48782,48780,2160,240,0,680,0,360,60,2240,610,180,0,4540,70,60,100,0,150,5250,32040,20,20
1119,394,Haarlemmermeer,8263,8270,660,350,10,190,0,40,60,1160,420,1940,0,120,40,0,20,0,110,680,2470,0,0
1121,415,Landsmeer,3568,3580,430,280,190,500,0,60,550,380,110,140,40,180,250,110,100,0,40,110,100,10,0
1127,415,Landsmeer,359,350,40,20,10,30,0,0,40,40,0,20,30,20,20,0,20,0,10,40,10,0,0
1131,385,Edam-Volendam,7474,7480,440,2010,250,1100,0,120,610,660,640,80,10,570,130,0,110,0,70,600,80,0,0
1132,385,Edam-Volendam,3209,3220,180,890,120,530,0,50,390,40,50,60,10,40,320,330,80,0,10,100,20,0,0
1135,385,Edam-Volendam,3402,3400,290,320,80,420,0,130,170,260,840,40,30,140,240,10,220,0,10,60,140,0,0
1141,852,Waterland,2382,2390,280,180,130,330,0,10,320,40,180,80,40,190,160,160,70,0,10,160,50,0,0
1145,852,Waterland,430,430,20,30,20,0,0,0,10,10,100,10,30,160,10,0,10,0,10,10,0,0,0
1151,852,Waterland,692,660,170,50,40,40,0,0,70,20,30,40,40,40,60,0,20,0,0,20,20,0,0
1153,852,Waterland,138,140,20,10,20,10,0,0,20,0,0,0,30,10,10,0,10,0,0,0,0,0,0
1154,852,Waterland,32,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1156,852,Waterland,320,330,40,20,10,40,0,0,30,10,10,10,10,90,20,0,20,0,0,10,10,0,0
1161,394,Haarlemmermeer,3744,3750,290,630,90,660,0,70,210,320,560,60,20,110,220,0,100,0,20,200,170,20,0
1165,394,Haarlemmermeer,2446,2450,340,170,80,490,0,10,90,190,180,180,0,140,100,20,40,10,60,180,170,0,0
1171,394,Haarlemmermeer,9211,9200,640,680,220,860,0,100,780,480,130,300,10,650,340,2940,170,0,60,510,330,0,0
1175,394,Haarlemmermeer,3937,3930,810,400,60,340,0,40,80,770,150,160,30,50,50,0,60,20,20,430,460,0,0
1181,362,Amstelveen,11806,11790,1700,170,290,1710,0,1080,1000,950,440,570,0,580,540,1810,230,10,200,360,140,10,0
1182,362,Amstelveen,4684,4680,490,50,160,400,0,90,310,60,110,50,50,280,170,870,60,0,60,70,1400,0,0
1183,362,Amstelveen,7830,7830,2110,220,200,520,0,820,780,370,90,470,10,470,410,70,100,0,700,330,120,40,0
1184,362,Amstelveen,1034,1040,120,30,10,20,0,10,40,30,10,250,0,190,150,0,130,10,10,30,0,0,0
1185,362,Amstelveen,11349,11340,1610,280,290,1220,0,870,1280,750,410,1970,0,450,1390,170,170,0,50,300,120,10,0
1186,362,Amstelveen,12085,12080,1870,100,120,620,0,240,2990,680,410,530,10,110,240,0,110,20,30,3560,440,0,0
1187,362,Amstelveen,5379,5380,750,190,280,630,0,80,750,590,60,220,250,290,360,0,110,0,50,320,450,0,0
1188,362,Amstelveen,1394,1410,160,90,50,270,0,10,250,60,20,80,40,20,190,0,70,0,10,60,30,0,0
1189,362,Amstelveen,94,90,20,10,0,10,0,0,10,0,0,0,0,0,20,0,10,0,0,10,0,0,0
