PC4 Code,Gemeente Code,Gemeente Name,Total Employment 2018-19,Total Across Categories,"Advisering, onderzoek en overige specialistische zakelijke dienstverlening",Bouwnijverheid,"Cultuur, sport en recreatie",Detailhandel,Extraterritoriale organisaties en lichamen,Financiële instellingen,Gezondheids- en welzijnszorg,Groothandel,Industrie,Informatie en communicatie,"Landbouw, bosbouw en visserij","Logies-, maaltijd- en drankverstrekking",Onderwijs,"Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen",Overige dienstverlening,"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht",Verhuur van en handel in onroerend goed,Verhuur van roerende goederen en overige zakelijke dienstverlening,Vervoer en opslag,Winning en distributie van water: afval- en afvalwaterbeheer en sanering,Winning van delfstoffen 
1991,453,Velsen,3332,3330,350,250,70,720,0,140,360,220,60,50,30,100,180,0,80,0,160,60,60,440,0
1992,453,Velsen,209,210,40,20,10,10,0,0,60,0,0,10,0,20,10,0,10,0,10,10,0,0,0
2011,392,Haarlem,14310,14300,1790,170,780,2560,0,220,1090,310,140,790,0,2080,450,2210,460,0,100,970,180,0,0
2012,392,Haarlem,7241,7240,1280,100,220,310,0,300,1190,190,150,270,0,360,860,1510,110,0,130,240,20,0,0
2013,392,Haarlem,1977,1970,510,120,220,170,0,10,120,70,30,110,0,80,160,0,80,0,50,230,10,0,0
2014,392,Haarlem,2714,2720,340,90,90,650,0,10,720,70,200,100,0,70,170,0,30,0,0,150,30,0,0
2015,392,Haarlem,3134,3150,300,70,160,220,0,30,790,80,20,200,10,30,980,170,20,0,30,40,0,0,0
2019,392,Haarlem,379,370,0,0,0,0,0,0,0,0,0,0,0,100,0,270,0,0,0,0,0,0,0
2021,392,Haarlem,2207,2210,320,180,140,590,0,0,190,100,20,120,0,140,190,0,90,0,20,90,20,0,0
2022,392,Haarlem,1722,1700,180,160,80,540,0,0,230,30,40,50,0,80,140,20,60,0,0,80,10,0,0
2023,392,Haarlem,2927,2930,590,90,180,360,0,30,690,50,30,150,0,100,490,0,80,0,40,50,0,0,0
2024,392,Haarlem,2889,2880,240,80,200,180,0,20,680,10,20,80,0,70,810,0,120,0,20,350,0,0,0
2025,392,Haarlem,1653,1650,160,150,60,390,0,0,290,30,10,40,0,100,140,0,80,0,0,50,150,0,0
