PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;ONDERWIJSSTRUCTUUR;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Noord-Holland;73841;16CX;16CX04;Regius College Schagen voor Gym, Ath, Havo, Vmbotl. Vmbo basis/kader;Hofstraat;11;1741 CD;SCHAGEN;0441;SCHAGEN;Openbaar;0224297841;www.regiuscollege.nl;VBO/MAVO;Postbus;282;1740 AG;SCHAGEN;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland;Noord
Noord-Holland;73841;16CX;16CX08;Regius College Schagen voor Gym, Havo, Vmbo tl, Vmbo basis/kader;Oranjelaan;2;1741 CP;SCHAGEN;0441;SCHAGEN;Openbaar;0224297841;www.regiuscollege.nl;VBO/MAVO/HAVO/VWO;Postbus;282;1740 AG;SCHAGEN;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland;Noord
Noord-Holland;73841;16CX;16CX09;Regius College Schagen voor Gym, Havo, Vmbo tl, VMBO basis/kader;Emmalaan;2;1741 CX;SCHAGEN;0441;SCHAGEN;Openbaar;0224297841;www.regiuscollege.nl;BRUGJAAR;Postbus;282;1740 AG;SCHAGEN;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland;Noord
Noord-Holland;73841;19SQ;19SQ00;Regius College Emmalaan Praktijkonderwijs;Emmalaan;2;1741 CX;SCHAGEN;0441;SCHAGEN;Openbaar;0224297841;www.regiuscollege.nl;PRO;Postbus;282;1740 AG;SCHAGEN;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland;Noord
Noord-Holland;74374;02ME;02ME00;Tabor College voor Vwo Havo Mavo Vmbo Lwoo;Berkhouterweg;5;1624 NS;HOORN NH;0405;HOORN;Bijzonder;0229283555;www.dampte.nl;VBO/MAVO;Postbus;34;1620 AA;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;74374;02ME;02ME01;Tabor College voor Vwo Havo Mavo Vmbo Lwoo, locatie Werenfridus;De Keyzerstraat;1;1624 BX;HOORN NH;0405;HOORN;Bijzonder;0229285828;www.werenfridus.nl;VBO/MAVO/HAVO/VWO;Postbus;1044;1620 KA;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;74374;02ME;02ME02;Tabor College voor Vwo Havo Mavo Vmbo Lwoo locactie Oscar Romero;Bouwsteen;1;1625 PD;HOORN NH;0405;HOORN;Bijzonder;0229285685;www.oscarromero.nl;VBO/MAVO/HAVO/VWO;Postbus;363;1620 AJ;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;74374;02ME;02ME06;Tabor College voor Vwo Havo Mavo Vmbo Lwoo loc. Oscar Junior;Johannes Poststraat;71;1624 CB;HOORN NH;0405;HOORN;Bijzonder; ; ;VBO/MAVO/HAVO/VWO;Postbus;34;1620 AA;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;76415;02TD;02TD00;Jan Arentsz Christelijke Scholengemeenschap voor Lyceum Havo Mavo Vbo;Mandenmakerstraat;11;1825 BB;ALKMAAR;0361;ALKMAAR;Bijzonder;0725187676;www.ja.nl;VBO/MAVO/HAVO/VWO;Postbus;8003;1802 KA;ALKMAAR;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland;Noord
Noord-Holland;76415;02TD;02TD03;CSG Jan Arentsz, SGM voor Lyceum Havo Mavo Vbo,  vestiging Van der Meij College;Gravin Jacobastraat;1;1823 DS;ALKMAAR;0361;ALKMAAR;Bijzonder;0725675570;www.vandermeijcollege.nl;VBO;Postbus;9376;1800 GJ;ALKMAAR;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland;Noord
Noord-Holland;76415;02TD;02TD04;Jan Arentsz Christelijke Scholengemeenschap voor Lyceum Havo Mavo Vbo;Bosgroet;14;1722 KA;ZUID-SCHARWOUDE;1980;DIJK EN WAARD;Bijzonder;0226343645;www.ja.nl;VBO/MAVO;Postbus;8003;1802 KA;ALKMAAR;38;Alkmaar;19;Noord-Holland-Noord;24;Noord-Kennemerland;19;Alkmaar en omgeving;14;Noord-Noord-Holland;24;Noord-Kennemerland;Noord
Noord-Holland;77690;01KD;01KD00;Kolom Praktijkcollege De Schakel;Sterrenpad;2;2023 BV;HAARLEM;0392;HAARLEM;Bijzonder;0235316470;www.deschakelhaarlem.nl;PRO;Sterrenpad;2;2023 BV;HAARLEM;43;Haarlem;20;Zuidelijk Noord-Holland;25;West-Kennemerland;21;Agglomeratie Haarlem;15;Zuid-Noord-Holland;25;Zuid-Kennemerland en IJmond;Noord
Noord-Holland;77690;09PY;09PY00;Kolom Praktijkcollege De Atlant;Teilingen;4;1082 JS;AMSTERDAM;0363;AMSTERDAM;Bijzonder;0206447290;www.de-atlant.nl;PRO;Teilingen;4;1082 JS;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;77690;10JY;10JY00;Kolom Praktijkcollege Het Plein;Jan de Louterpad;5;1063 ME;AMSTERDAM;0363;AMSTERDAM;Bijzonder;0204801048;www.het-plein.net;PRO;Jan de Louterpad;5;1063 ME;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;77690;26HP;26HP00;Kolom Praktijkcollege Noord;Oostzanerdijk;139;1035 EX;AMSTERDAM;0363;AMSTERDAM;Bijzonder;0206301199;www.kpcn.nl;PRO;Oostzanerdijk;139;1035 EX;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;77690;27VH;27VH00;Kolom Praktijkcollege De Dreef;Alexander Dumaslaan;7;1102 WD;AMSTERDAM;0363;AMSTERDAM;Bijzonder;0205195070;www.dedreef.net;PRO;Alexander Dumaslaan;7;1102 WD;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;78001;02TZ;02TZ00;Rooms Katholieke Scholengemeenschap St Michaelcollege voor Atheneum en Havo;Leeghwaterweg;7;1509 BS;ZAANDAM;0479;ZAANSTAD;Bijzonder;0756127474;www.stmichaelcollege.nl;HAVO/VWO;Leeghwaterweg;7;1509 BS;ZAANDAM;41;Zaanstad;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;22;Zaanstreek;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;78157;02UC;02UC00;Atheneum College Hageveld;Hageveld;15;2102 LM;HEEMSTEDE;0397;HEEMSTEDE;Bijzonder;0235100100;www.hageveld.nl;VWO;Hageveld;15;2102 LM;HEEMSTEDE;43;Haarlem;20;Zuidelijk Noord-Holland;25;West-Kennemerland;21;Agglomeratie Haarlem;15;Zuid-Noord-Holland;25;Zuid-Kennemerland en IJmond;Noord
Noord-Holland;78457;23GF;23GF00;Stichting Joodse Kindergemeenschap Cheider MAVO HAVO VWO;Zeelandstraat;11;1082 BV;AMSTERDAM;0363;AMSTERDAM;Bijzonder;0206465564; ;MAVO/HAVO/VWO;Postbus;7828;1008 AA;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
Noord-Holland;85425;07FH;07FH00;Mendel College Interconfessionele Scholengemeenschap Voor Mavo Havo Vwo;Pim Mulierlaan;4-6;2024 BT;HAARLEM;0392;HAARLEM;Bijzonder;0235258421;www.mendelcollege.nl/;MAVO/HAVO/VWO;Pim Mulierlaan;4-6;2024 BT;HAARLEM;43;Haarlem;20;Zuidelijk Noord-Holland;25;West-Kennemerland;21;Agglomeratie Haarlem;15;Zuid-Noord-Holland;25;Zuid-Kennemerland en IJmond;Noord
Overijssel;12975;01XN;01XN00;Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Marinus Postlaan;1;8264 PB;KAMPEN;0166;KAMPEN;Openbaar;0383371230;www.almerecollege.nl;VBO/MAVO/HAVO/VWO;Postbus;1;8260 AA;KAMPEN;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;12975;01XN;01XN02;Almere College Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Flevoweg;68;8265 PL;KAMPEN;0166;KAMPEN;Openbaar;0888508383;www.almerecollege.nl;VBO;Postbus;1;8260 AA;KAMPEN;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;12975;01XN;01XN10;Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO;Veenmos;34;8265 HZ;KAMPEN;0166;KAMPEN;Openbaar;0382031001; ;BRUGJAAR;Postbus;1;8260 AA;KAMPEN;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;13365;19FF;19FF00;De Waerdenborch Scholengemeenschap voor Atheneum Havo Mavo Vbo;Haarstraat;14;7451 CZ;HOLTEN;1742;RIJSSEN-HOLTEN;Openbaar;0548378383;www.waerdenborch.nl;VBO/MAVO/HAVO/VWO;Postbus;49;7450 AA;HOLTEN;21;Almelo;07;Twente;12;Twente;12;Twente;06;Twente;12;Twente;Noord
Overijssel;13365;19FF;19FF04;De Waerdenborch Scholengemeenschap voor Ath Havo Mavo Vbo (Disl);Gruttostraat;1;7471 EP;GOOR;1735;HOF VAN TWENTE;Openbaar;0547272626; ;VBO/MAVO;Haarstraat;14;7451 CZ;HOLTEN;22;Enschede;07;Twente;12;Twente;12;Twente;06;Twente;12;Twente;Noord
Overijssel;29850;03KZ;03KZ00;PrO Hardenberg school voorChristelijk Praktijkonderwijs;Verlengde Korte Steeg;18;7772 RZ;HARDENBERG;0160;HARDENBERG;Bijzonder;0523267700;www.prohardenberg.nl;PRO;Verlengde Korte Steeg;18;7772 RZ;HARDENBERG;19;Hardenberg/Gramsbergen;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;04;Assen-Hoogeveen-Emmen;10;IJssel-Vecht;Noord
Overijssel;31157;23VL;23VL00;Scholengemeenschap Pieter Zandt voor Vwo Havo Vmbo Pro;Kamperstraatweg;1-A;8265 PA;KAMPEN;0166;KAMPEN;Bijzonder;0388700800; ;VBO/MAVO/HAVO/VWO/PRO;Postbus;296;8260 AG;KAMPEN;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;31157;23VL;23VL01;Scholengemeenschap Pieter Zandt voorVwo Havo Mavo Vbo Lwoo;Achthoevenweg;3;7951 SK;STAPHORST;0180;STAPHORST;Bijzonder;0388700802; ;VBO/MAVO;Postbus;296;8260 AG;KAMPEN;15;Meppel;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;31157;23VL;23VL03;Scholengemeenschap Pieter Zandt voor Vwo Havo Vmbo Pro;Grafhorsterweg;53;8271 CB;IJSSELMUIDEN;0166;KAMPEN;Bijzonder;0388700804; ;BRUGJAAR;Postbus;296;8260 AG;KAMPEN;18;Zwolle;06;IJssel en Vecht;10;IJssel-Vecht;10;Noord-Overijssel;05;Zwolle-Meppel en omstreken;10;IJssel-Vecht;Noord
Overijssel;35647;01VJ;01VJ00;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Lebuinuslaan;1;7415 DM;DEVENTER;0150;DEVENTER;Bijzonder;0570504700;www.ettyhillesumlyceum.nl;VBO/MAVO;Postbus;199;7400 AD;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ01;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Herman Boerhaavelaan;1;7415 ES;DEVENTER;0150;DEVENTER;Bijzonder;0570504640; ;HAVO/VWO;Herman Boerhaavelaan;1;7415 ES;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
Overijssel;35647;01VJ;01VJ03;Etty Hillesum Lyceum voor Gymnasium Atheneum Havo Vmbo Pro;Storminkstraat;1;7418 GH;DEVENTER;0150;DEVENTER;Bijzonder;0570504660; ;VBO/MAVO;Storminkstraat;1;7418 GH;DEVENTER;20;Deventer;09;Stedendriehoek;11;Stedendriehoek;11;Zuidwest-Overijssel;07;Apeldoorn en midden-IJsselgebied;11;Stedendriehoek;Noord
