PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20181001;00RL;11;Antoniusschool;1742AB;SCHAGEN;441;Schagen;Noord-Holland;So;3-apr;Samenwerking PC, RK;41008;0;3;2;5;9;12;10;16;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20181001;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;453;Velsen;Noord-Holland;So;3-apr;Samenwerking PC, RK;41008;0;3;8;6;3;12;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20181001;00RL;14;Antoniusschool;1784MC;DEN HELDER;400;Den Helder;Noord-Holland;So;3-apr;Samenwerking PC, RK;41008;0;0;0;6;7;5;8;10;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;50
20181001;00RL;16;Antoniusschool;2037RS;HAARLEM;392;Haarlem;Noord-Holland;So;3-apr;Samenwerking PC, RK;41008;0;6;5;7;11;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20181001;00RL;17;Antoniusschool;2014AZ;HAARLEM;392;Haarlem;Noord-Holland;So;3-apr;Samenwerking PC, RK;41008;0;4;13;9;8;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20181001;00RS;0;Talryk;9201HJ;DRACHTEN;90;Smallingerland;Friesland;Vso;3-apr;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;24;29;32;40;30;41;14;4;1;0;0;0;0;0;216
20181001;00RT;0;De Sonnewijser;5348RD;OSS;828;Oss;Noord-Brabant;So;3-apr;Algemeen bijzonder;42572;0;0;0;0;8;7;11;16;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;61
20181001;00RT;0;De Sonnewijser;5348RD;OSS;828;Oss;Noord-Brabant;Vso;3-apr;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;1;30;30;46;42;36;19;6;0;0;0;0;0;0;0;210
20181001;00RT;1;De Sonnewijser;4001XM;TIEL;281;Tiel;Gelderland;Vso;3-apr;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;12;27;18;14;10;7;1;0;0;0;0;0;0;0;89
20181001;00RT;3;De Sonnewijser;5402EK;UDEN;856;Uden;Noord-Brabant;So;3-apr;Algemeen bijzonder;42572;0;0;0;2;7;11;18;35;15;10;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20181001;00RU;0;SSBO De Wissel;1623MA;HOORN NH;405;Hoorn;Noord-Holland;Sbo;nvt;Algemeen bijzonder;42635;0;5;7;9;15;33;45;51;32;20;0;0;0;0;0;0;0;0;0;0;0;0;0;217
20181001;00RX;0;SBO Arcadia;6466HX;KERKRADE;928;Kerkrade;Limburg;Sbo;nvt;Rooms-Katholiek;41516;0;5;11;20;12;20;30;27;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;152
20181001;00SH;0;Inst v Orthopedagog Ond;6225AR;MAASTRICHT;935;Maastricht;Limburg;So;3-apr;Rooms-Katholiek;41373;0;2;6;12;12;14;19;11;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;92
