PEILDATUM;INSTELLINGSCODE;VESTIGINGSCODE;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;CLUSTER;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20221001;01AJ;01;Dr A Verschoor School;3842AE;HARDERWIJK; 243;Harderwijk;Gelderland;Vso;  4;Algemeen bijzonder;62129;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
20221001;01AK;00;SSBO Johan Seckel;7731BL;OMMEN; 175;Ommen;Overijssel;Sbo;nvt;Protestants-Christelijk;62181;0;3;10;12;18;21;23;28;31;18;0;0;0;0;0;0;0;0;0;0;0;0;0;164
20221001;01BO;00;SSBO Toermalijn;7822EM;EMMEN; 114;Emmen;Drenthe;Sbo;nvt;Rooms-Katholiek;45000;0;1;6;7;7;9;26;17;18;9;0;1;0;0;0;0;0;0;0;0;0;0;0;101
20221001;01BS;00;Schreuder College;3053ZV;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;  4;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;14;26;35;42;8;14;3;0;0;0;0;0;0;0;143
20221001;01BS;04;Educatief Centrum;3029NP;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;  4;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;0;0;0;4;33;16;5;0;0;0;0;0;0;0;58
20221001;01BS;08;Schreuder College;3085EW;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;  4;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;0;20;28;35;34;4;3;0;2;0;0;0;0;0;126
20221001;01BS;09;Schreuder College;3021XB;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;  4;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;12;18;20;22;18;13;4;0;0;0;0;0;0;0;107
20221001;01BS;10;Schreuder College;3082VS;ROTTERDAM; 599;Rotterdam;Zuid-Holland;Vso;  4;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;25;28;9;2;2;0;0;0;0;0;0;0;0;0;66
20221001;01CE;00;SSBO De Twine;9101AB;DOKKUM;1970;Noardeast-Frysl‘n;Friesland;Sbo;nvt;Protestants-Christelijk;40788;0;11;11;21;26;25;29;34;41;7;0;0;0;0;0;0;0;0;0;0;0;0;0;205
20221001;01CN;00;'t Iemenschoer;7556WS;HENGELO OV; 164;Hengelo;Overijssel;So;  3;Algemeen bijzonder;83189;0;0;10;10;10;23;12;19;15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;103
